조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),TN(㎎/L),TP(㎎/L),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),지점,평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),NP_Ratio,Retention_Index,채수위치,유해남조류 세포수 (cells/㎖)
2026-01-24,7.4714285714285715,7.314285714285714,9.428571428571429,2.5571428571428574,1.9142857142857144,3.071428571428571,1.3800000000000001,0.020714285714285713,73.87264285714286,1030.7168285714286,69.17714285714285,0.11198571428571427,18.015142857142855,33.094857142857144,133.0,-1.1428571428571428,0.8,3.842857142857143,7.257142857142857,69.44099378881987,31.144193723768286,문의,45.71428571428571
2026-01-24,7.142857142857143,7.485714285714286,10.7,3.357142857142857,1.4285714285714286,4.085714285714285,1.4164827586206896,0.008413793103448275,73.87264285714286,1030.7168285714286,69.17714285714285,0.11198571428571427,18.015142857142855,33.094857142857144,133.0,-1.1428571428571428,0.8,3.842857142857143,7.257142857142857,169.19252873563218,31.144193723768286,추동,97.14285714285714
2026-01-24,6.885714285714285,7.442857142857143,10.957142857142857,3.8857142857142857,1.542857142857143,4.7,1.5,0.007,73.87264285714286,1030.7168285714286,69.17714285714285,0.11198571428571427,18.015142857142855,33.094857142857144,133.0,-1.1428571428571428,0.8,3.842857142857143,7.257142857142857,214.28571428571428,31.144193723768286,회남,343.0
2026-01-25,7.485714285714286,7.257142857142857,9.314285714285713,2.5285714285714285,1.7571428571428571,2.9857142857142858,1.371,0.021857142857142856,73.85037142857144,1029.3778142857143,69.08857142857143,0.06964285714285712,18.178571428571427,33.07742857142858,133.0,-1.0714285714285714,0.7,3.8714285714285714,7.408571428571428,64.32919254658385,31.120173086929515,문의,22.85714285714286
2026-01-25,7.071428571428571,7.442857142857143,10.7,3.4285714285714284,1.4142857142857141,4.442857142857143,1.4136896551724139,0.008448275862068965,73.85037142857144,1029.3778142857143,69.08857142857143,0.06964285714285712,18.178571428571427,33.07742857142858,133.0,-1.0714285714285714,0.7,3.8714285714285714,7.408571428571428,168.18773946360153,31.120173086929515,추동,116.57142857142857
2026-01-25,6.8428571428571425,7.371428571428571,10.928571428571429,3.8428571428571425,1.5714285714285716,4.7,1.5,0.007,73.85037142857144,1029.3778142857143,69.08857142857143,0.06964285714285712,18.178571428571427,33.07742857142858,133.0,-1.0714285714285714,0.7,3.8714285714285714,7.408571428571428,214.28571428571428,31.120173086929515,회남,351.0
2026-01-26,7.5,7.2,9.2,2.5,1.6,2.9,1.362,0.023,73.8281,1028.0388,69.0,0.0273,18.342,33.06,133.0,-1.0,0.6,3.9,7.56,59.21739130434783,31.09615245009074,문의,0.0
2026-01-26,7.0,7.4,10.7,3.5,1.4,4.8,1.4108965517241379,0.008482758620689654,73.8281,1028.0388,69.0,0.0273,18.342,33.06,133.0,-1.0,0.6,3.9,7.56,167.18295019157088,31.09615245009074,추동,136.0
2026-01-26,6.8,7.3,10.9,3.8,1.6,4.7,1.5,0.007,73.8281,1028.0388,69.0,0.0273,18.342,33.06,133.0,-1.0,0.6,3.9,7.56,214.28571428571428,31.09615245009074,회남,359.0
2026-01-27,6.8428571428571425,7.428571428571429,10.77142857142857,3.7142857142857144,1.4,4.657142857142857,1.408103448275862,0.008517241379310345,73.80465714285715,1026.6370571428572,68.90571428571428,0.0234,18.419999999999998,33.10657142857143,133.0,-1.3571428571428572,0.7285714285714285,4.0,7.898571428571429,166.17816091954023,31.010789270919275,추동,154.85714285714286
2026-01-27,6.614285714285714,7.357142857142857,10.971428571428572,3.9428571428571426,1.542857142857143,4.642857142857143,1.5,0.007,73.80465714285715,1026.6370571428572,68.90571428571428,0.0234,18.419999999999998,33.10657142857143,133.0,-1.3571428571428572,0.7285714285714285,4.0,7.898571428571429,214.28571428571428,31.010789270919275,회남,320.85714285714283
2026-01-27,7.314285714285714,7.228571428571429,9.328571428571427,2.6,1.6,2.9714285714285715,1.3805714285714286,0.021857142857142856,73.80465714285715,1026.6370571428572,68.90571428571428,0.0234,18.419999999999998,33.10657142857143,133.0,-1.3571428571428572,0.7285714285714285,4.0,7.898571428571429,64.96728778467909,31.010789270919275,문의,21.42857142857143
2026-01-28,6.428571428571429,7.414285714285715,11.042857142857143,4.085714285714285,1.4857142857142858,4.585714285714285,1.5,0.007,73.78121428571428,1025.2353142857144,68.81142857142858,0.0195,18.498,33.15314285714286,133.0,-1.7142857142857144,0.8571428571428571,4.1,8.237142857142857,214.28571428571428,30.925426091747813,회남,282.7142857142857
2026-01-28,7.128571428571429,7.257142857142857,9.457142857142857,2.7,1.6,3.0428571428571427,1.3991428571428572,0.020714285714285713,73.78121428571428,1025.2353142857144,68.81142857142858,0.0195,18.498,33.15314285714286,133.0,-1.7142857142857144,0.8571428571428571,4.1,8.237142857142857,70.71718426501036,30.925426091747813,문의,42.85714285714286
