조사일,채수위치,TN(㎎/L),TP(㎎/L)
2023-12-13,회남,2.761,0.012
2023-12-18,문의,1.361,0.014
2024-01-02,문의,1.343,0.014
2024-01-05,추동,3.217,0.01
2024-01-05,회남,2.605,0.012
2024-01-08,문의,1.218,0.013
2024-01-15,문의,1.314,0.017
2024-01-22,문의,1.406,0.021
2024-01-30,문의,1.316,0.01
2024-02-01,추동,2.773,0.008
2024-02-01,회남,,
2024-02-05,문의,1.492,0.023
2024-02-13,문의,1.419,0.009
2024-02-19,문의,1.395,0.01
2024-02-26,문의,1.36,0.009
2024-03-04,문의,1.38,0.011
2024-03-06,추동,2.342,0.015
2024-03-06,회남,3.446,0.008
2024-03-11,문의,1.467,0.011
2024-03-18,문의,1.382,0.009
2024-03-25,문의,1.426,0.008
2024-04-01,문의,1.466,0.009
2024-04-08,문의,1.572,0.009
2024-04-09,추동,2.794,0.009
2024-04-09,회남,3.092,0.01
2024-04-15,문의,1.516,0.016
2024-04-22,문의,1.606,0.011
2024-04-29,문의,1.774,0.021
2024-05-07,문의,1.664,0.034
2024-05-13,문의,1.676,0.013
2024-05-13,추동,2.156,0.009
2024-05-13,회남,2.04,0.036
2024-05-20,문의,1.608,0.006
2024-05-27,문의,1.685,0.011
2024-06-03,문의,1.568,0.034
2024-06-10,문의,1.711,0.015
2024-06-11,추동,2.3,0.008
2024-06-11,회남,1.549,0.01
2024-06-17,문의,1.423,0.031
2024-06-24,문의,1.365,0.038
2024-07-01,문의,1.339,0.038
2024-07-15,문의,1.122,0.031
2024-07-15,추동,2.274,0.018
2024-07-15,회남,3.098,0.055
2024-07-23,문의,1.21,0.028
2024-07-29,문의,1.149,0.047
2024-08-05,문의,1.296,0.031
2024-08-08,추동,2.153,0.018
2024-08-08,회남,2.51,0.01
2024-08-12,문의,1.159,0.057
2024-08-19,문의,1.101,0.045
2024-08-26,문의,1.095,0.031
2024-09-02,문의,1.055,0.038
2024-09-09,문의,1.051,0.044
2024-09-09,추동,1.402,0.015
2024-09-09,회남,1.185,0.019
2024-09-19,문의,0.802,0.049
2024-09-23,문의,1.038,0.019
2024-09-30,문의,1.017,0.04
2024-10-07,문의,1.143,0.03
2024-10-14,문의,1.205,0.029
2024-10-14,추동,1.9,0.008
2024-10-14,회남,1.859,0.02
2024-10-21,문의,1.212,0.027
2024-10-28,문의,1.349,0.031
2024-11-04,문의,1.371,0.023
2024-11-04,추동,2.708,0.01
2024-11-04,회남,2.276,0.012
2024-11-11,문의,1.325,0.025
2024-11-18,문의,1.151,0.019
2024-11-25,문의,1.282,0.024
2024-12-02,문의,1.452,0.014
2024-12-02,추동,2.534,0.009
2024-12-02,회남,2.609,0.012
2024-12-09,문의,1.414,0.017
2024-12-16,문의,1.478,0.014
2025-01-06,문의,1.4,0.015
2025-01-08,추동,2.066,0.01
2025-01-08,회남,2.085,0.011
2025-01-13,문의,1.379,0.012
2025-01-20,문의,1.435,0.018
2025-02-03,문의,1.311,0.012
2025-02-04,추동,1.637,0.007
2025-02-04,회남,,
2025-02-10,문의,1.313,0.007
2025-02-17,문의,1.385,0.006
2025-02-24,문의,1.491,0.034
2025-03-04,문의,1.439,0.015
2025-03-05,추동,1.553,0.007
2025-03-05,회남,1.806,0.006
2025-03-10,문의,1.297,0.006
2025-03-17,문의,1.309,0.011
2025-03-24,문의,1.288,0.016
2025-03-31,문의,1.453,0.011
2025-04-02,추동,1.693,0.005
2025-04-02,회남,2.488,0.007
2025-04-08,문의,1.257,0.01
2025-04-14,문의,1.254,0.008
2025-04-21,문의,1.246,0.01
2025-04-28,문의,1.321,0.01
2025-05-07,문의,1.21,0.011
2025-05-08,추동,1.133,0.003
2025-05-08,회남,1.176,0.012
2025-05-12,문의,1.389,0.01
2025-05-19,문의,1.291,0.016
2025-05-26,문의,1.287,0.006
