유해남조류 세포수 (cells/㎖),7일 전_수온(℃),7일 전_pH,7일 전_DO(㎎/L),7일 전_투명도,7일 전_탁도,7일 전_Chl-a (㎎/㎥),7일 전_평균기온(°C),7일 전_일강수량(mm),7일 전_합계 일조시간(hr),7일 전_합계 일사량(MJ/m2),7일 전_TN(㎎/L),7일 전_TP(㎎/L),7일 전_N_P_비율,7일 전_체류시간_지표,7일 전_유해남조류 세포수 (cells/㎖)
1768.0,22.0,7.2,7.0,2.6,2.3,18.5,16.0,0.0,4.4,11.15,1.201,0.021,57.19047346712031,36.14333970247032,392.0
660.0,21.0,8.3,7.4,2.8,2.1,9.0,13.0,0.0,9.8,16.83,1.237,0.025,49.47999802080008,25.42137130954976,1768.0
496.0,19.8,7.5,7.1,4.2,1.7,6.3,7.0,0.0,9.9,16.92,1.215,0.032,37.9687488134766,25.063675586581347,660.0
434.0,18.7,7.8,7.8,4.0,1.7,7.6,9.2,0.0,9.2,14.46,1.22,0.024,50.833331215277866,26.62951885565669,496.0
488.0,17.4,7.8,8.4,3.8,1.3,7.6,7.3,0.0,1.5,6.49,1.165,0.014,83.2142797704086,26.536367939413065,434.0
34.0,15.3,7.8,8.6,2.9,1.5,7.1,3.7,0.0,7.7,11.92,1.273,0.021,60.61904473242643,25.72221070632741,488.0
0.0,13.9,7.6,9.0,3.4,2.1,5.0,3.1,0.0,8.3,11.09,1.179,0.007,168.42854736735038,34.40380371965956,34.0
0.0,12.6,7.9,9.2,3.8,1.7,3.8,2.3,0.0,7.4,11.67,1.237,0.007,176.71426046939138,33.84174767429706,0.0
0.0,10.9,7.7,9.4,3.2,1.7,4.0,-4.2,0.6,2.4,6.19,1.663,0.01,166.29998337000168,33.75824561403509,0.0
0.0,9.1,7.7,9.8,3.0,1.5,5.1,1.0,0.0,7.0,9.51,1.478,0.008,184.7499769062529,33.14289698448666,0.0
0.0,8.4,7.7,10.5,3.4,1.6,5.6,-1.1,0.3,5.5,4.31,1.21,0.009,134.44442950617452,34.1928837583108,0.0
0.0,7.5,7.7,10.5,3.1,2.7,5.7,-1.0,0.0,0.3,2.33,1.191,0.006,198.49996691667215,32.57082734191421,0.0
0.0,6.8,7.5,10.9,3.7,1.7,4.6,1.5,3.6,0.0,1.05,1.345,0.015,89.6666606888893,32.270255116344266,0.0
0.0,6.2,7.6,11.9,3.4,1.9,4.1,5.5,0.0,7.5,6.4,1.224,0.01,122.39998776000122,31.81350729086723,0.0
0.0,6.0,7.2,9.3,3.7,1.7,9.8,3.0,0.8,1.2,6.34,1.309,0.01,130.8999869100013,31.808769408713324,0.0
0.0,5.125,7.525,11.65,5.324999999999999,1.25,3.675,-6.8,0.0,9.2,8.42,1.244,0.017,73.17646628373727,30.20884033613445,0.0
0.0,3.4,7.1,12.3,4.3,1.5,3.3,-8.1,0.0,9.1,8.58,1.151,0.006,191.83330136111644,30.28236576723903,0.0
0.0,3.73,7.279999999999999,12.54,4.359999999999999,1.65,3.63,-4.8,1.4,4.7,6.75,1.334,0.014,95.28570747959232,29.59585369964605,0.0
0.0,5.1,7.6,12.7,4.1,2.5,3.4,6.6,18.6,0.0,4.88,1.549,0.005,309.7999380400124,29.23987634189428,0.0
0.0,5.7,7.8,13.0,3.6,1.4,3.9,8.6,0.0,10.3,20.14,1.132,0.011,102.90908155371986,30.81868000137,0.0
0.0,6.3,8.3,12.6,3.9,2.2,2.5,8.3,22.0,0.0,2.91,1.29,0.015,85.99999426666706,31.521004378763,0.0
0.0,7.3,7.4,12.5,4.2,1.8,2.3,12.4,0.0,10.5,23.01,1.177,0.009,130.7777632469152,32.432431522982704,0.0
0.0,8.8,7.7,12.6,2.6,2.3,2.8,18.3,0.0,10.3,14.24,1.544,0.008,192.99997587500303,32.54913680836144,0.0
0.0,9.2,7.9,12.1,2.7,2.2,2.9,11.9,0.0,10.9,25.58,1.415,0.015,94.33332704444489,34.93752097174686,0.0
0.0,9.7,8.1,12.3,3.0,2.5,2.5,11.6,0.0,10.9,26.77,1.385,0.015,92.3333271777782,27.16262623693114,0.0
0.0,11.9,7.4,11.2,2.4,2.7,4.6,11.4,38.9,0.0,1.07,1.471,0.018,81.72221768209903,18.303943484121973,0.0
0.0,12.7,7.7,10.6,4.5,2.2,3.2,20.3,0.0,9.9,16.7,1.485,0.027,54.99999796296304,10.773805671291614,0.0
0.0,13.6,8.1,10.4,3.1,2.4,5.5,16.5,0.0,7.1,23.37,1.694,0.047,36.04255242462654,10.26267872717829,0.0
68.0,15.2,8.1,10.6,3.2,1.5,4.2,19.6,0.0,8.7,25.33,3.17,0.027,117.40740305898508,10.093828591637852,0.0
164.0,16.1,8.3,11.4,3.4,1.8,11.8,17.5,0.0,10.0,27.26,2.354,0.051,46.15686184006154,16.39352511001812,68.0
0.0,17.7,8.6,12.4,2.4,1.8,16.8,23.0,0.0,10.9,29.34,1.935,0.05,38.69999922600002,16.138652745902963,164.0
96.0,19.0,8.7,13.1,2.7,2.0,16.5,23.5,0.0,7.8,24.41,2.992,0.056,53.42857047448981,11.425895447279617,0.0
76.0,21.6,9.0,12.1,2.8,2.1,19.7,20.4,0.0,1.1,13.74,2.734,0.036,75.94444233487661,10.894346047435503,96.0
0.0,20.8,8.8,11.1,2.8,1.9,17.4,25.7,0.0,10.3,26.28,3.312,0.016,206.9999870625008,10.185466541218014,76.0
840.0,22.7,9.0,11.6,3.1,2.2,11.2,26.6,0.0,5.8,19.9,1.718,0.027,63.62962727297677,9.968096322031869,0.0
832.0,23.7,8.9,12.1,2.2,11.0,9.6,22.8,43.9,0.2,5.7,1.59,0.024,66.24999723958345,4.347062631893684,840.0
866.0,24.2,8.8,9.5,1.8,3.1,8.6,20.5,35.5,0.0,3.94,2.19,0.022,99.54545002066136,5.2424027902479455,832.0
840.0,26.7,8.0,9.8,1.5,3.4,8.0,29.7,0.0,11.5,26.1,1.377,0.026,52.96153642455629,26.176203269692465,866.0
5874.0,26.1,8.5,7.3,2.5,2.7,8.1,30.8,0.0,10.3,24.03,1.4,0.024,58.333330902777874,22.59683428771473,840.0
8036.0,25.8,8.6,7.8,1.5,4.3,9.5,30.5,0.0,10.2,23.95,1.447,0.019,76.15789072853208,22.03603648383329,5874.0
2076.0,27.0,9.1,9.8,1.2,6.8,14.0,30.8,0.0,7.1,20.51,1.55,0.031,49.99999838709683,15.690169380156238,8036.0
7836.0,27.3,9.1,7.0,1.8,4.4,12.5,31.2,0.0,9.1,21.87,1.158,0.03,38.59999871333338,15.140812540918018,2076.0
7060.0,27.3,9.2,7.0,1.5,5.0,11.9,29.4,0.0,7.7,20.17,1.121,0.022,50.95454313842986,14.56909816730176,7836.0
844.0,26.7,9.5,7.3,1.7,4.6,12.9,23.6,53.0,0.0,4.0,1.22,0.025,48.79999804800008,8.753819713309033,7060.0
1886.0,22.6,7.2,6.6,2.7,3.4,8.6,15.5,1.7,5.1,14.3,1.506,0.041,36.73170642117789,37.05771507831793,640.0
880.0,21.9,7.1,6.7,2.3,3.6,10.4,13.8,0.0,8.1,17.41,1.751,0.054,32.425925325445824,5.180151240491931,1886.0
734.0,20.9,7.0,7.2,2.0,3.0,17.6,14.2,0.0,9.0,15.17,1.53,0.025,61.1999975520001,38.07469717362045,880.0
828.0,19.8,7.3,8.2,2.1,2.4,25.2,13.4,0.0,5.8,13.11,1.661,0.029,57.27586009393586,37.7284301276482,734.0
444.0,18.4,7.2,8.3,2.7,2.3,14.6,9.1,0.2,3.2,7.29,1.472,0.024,61.33333077777788,37.85081890186602,828.0
684.0,16.8,7.4,8.4,3.5,1.9,10.2,8.8,0.0,9.3,13.92,1.531,0.014,109.35713504591892,37.86019028542815,684.0
74.0,16.8,7.4,8.4,3.5,1.9,10.2,8.8,0.0,9.3,13.92,1.531,0.014,109.35713504591892,37.86019028542815,684.0
