"盒幅锅龋","螟沥家疙","斥/岿/老","雀瞒","版档","困档","盲荐矫阿","TN(Х/L)","TP(Х/L)"
"3008B30","措没达5(措没龋)","2016/05/03","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","00:00","3.592","0.012"
"3008B20","措没达6","2016/05/03","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","00:00","4.566","0.014"
"3008B40","措没达1","2016/05/09","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:45","1.624","0.003"
"3008B40","措没达1","2016/05/09","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:50","1.330","0.017"
"3008B40","措没达1","2016/05/09","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:55","1.133","0.013"
"3008B40","措没达1","2016/05/16","3雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:30","1.250","0.004"
"3008B40","措没达1","2016/05/16","3雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:35","1.222","0.002"
"3008B40","措没达1","2016/05/16","3雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:40","1.119","0.002"
"3008B40","措没达1","2016/05/23","4雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:45","1.402","0.006"
"3008B40","措没达1","2016/05/23","4雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:50","1.470","0.001"
"3008B40","措没达1","2016/05/23","4雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:55","1.137","0.000"
"3008B40","措没达1","2016/05/30","1雀瞒","127∑29'44""","36∑22'16""","13:10","1.029","0.002"
"3008B60","措没达2","2016/06/01","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","12:35","3.051","0.007"
"3008B50","措没达3","2016/06/01","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","13:00","2.231","0.019"
"3008B10","措没达4","2016/06/01","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","11:05","2.577","0.041"
